item_key,item,archetype,title,license,creator,source,page,image_url,approve
10-chicken-mcnuggets,10 Chicken McNuggets,chicken-nuggets,314-365 McDonalds Chicken McNuggets,by,elsie.hui,flickr,https://www.flickr.com/photos/91188380@N05/12806574135,https://live.staticflickr.com/2847/12806574135_78fc64dc9e_b.jpg,
10-chicken-mcnuggets,10 Chicken McNuggets,chicken-nuggets,Takoyaki with McDonalds Chicken McNuggets,by,elsie.hui,flickr,https://www.flickr.com/photos/91188380@N05/9943721165,https://live.staticflickr.com/2814/9943721165_62e83795ea_b.jpg,
10-chicken-mcnuggets,10 Chicken McNuggets,chicken-nuggets,new McDonald's chicken McNuggets for the 1997 my McDonald's rebrand,pdm,PatrickRich,flickr,https://www.flickr.com/photos/91689877@N03/49158790237,https://live.staticflickr.com/65535/49158790237_73f65832b9_b.jpg,
10-chicken-mcnuggets,10 Chicken McNuggets,chicken-nuggets,Existing McDonald's Chicken McNuggets with gross fried rubbery breading MUST BE ,cc0,PatrickRich,flickr,https://www.flickr.com/photos/91689877@N03/54886429772,https://live.staticflickr.com/65535/54886429772_8c2db75097_b.jpg,
artisan-grilled-chicken-sandwich,Artisan Grilled Chicken Sandwich,chicken-sandwich,McDonald’s Artisan Grilled Chicken Sandwich,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/17096277691,https://live.staticflickr.com/7645/17096277691_faf3dbbf69.jpg,
artisan-grilled-chicken-sandwich,Artisan Grilled Chicken Sandwich,chicken-sandwich,McDonald’s Artisan Grilled Chicken Sandwich 3,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/17095441102,https://live.staticflickr.com/8725/17095441102_a93f07ab80.jpg,
artisan-grilled-chicken-sandwich,Artisan Grilled Chicken Sandwich,chicken-sandwich,McDonald’s Artisan Grilled Chicken Sandwich 2,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/16909179228,https://live.staticflickr.com/8778/16909179228_85a03712fd.jpg,
artisan-grilled-chicken-sandwich,Artisan Grilled Chicken Sandwich,chicken-sandwich,McDonald’s Artisan Grilled Chicken Sandwich 4,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/16889562917,https://live.staticflickr.com/8778/16889562917_4ec1cc3e41.jpg,
bacon-egg-cheese-bagel,"Bacon, Egg & Cheese Bagel",bread,McDonald's Bacon & Cheese Angus Snack Wrap,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/4881974568,https://live.staticflickr.com/4142/4881974568_24df2d58fe_b.jpg,
bacon-egg-cheese-bagel,"Bacon, Egg & Cheese Bagel",bread,McDonald's Bacon Clubhouse Burger,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/13304945214,https://live.staticflickr.com/7428/13304945214_21a2896de7.jpg,
bacon-egg-cheese-bagel,"Bacon, Egg & Cheese Bagel",bread,McDonald's Bacon McDouble,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/10705775583,https://live.staticflickr.com/5477/10705775583_64f1c666df.jpg,
bacon-egg-cheese-bagel,"Bacon, Egg & Cheese Bagel",bread,McDonald's Bacon Cheddar McChicken,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/10796462653,https://live.staticflickr.com/5505/10796462653_ace6c38a05.jpg,
