severity,chain,name,kind,detail
warning,Applebee's,Apple Sangria,atwater,"220 ккал, макросы объясняют только 148 (33%) — алкоголь или потерянный макрос"
warning,Applebee's,Blue Hawaiian Long Island Iced Tea,atwater,"250 ккал, макросы объясняют только 148 (41%) — алкоголь или потерянный макрос"
warning,Applebee's,Bourbon & Berries,atwater,"150 ккал, макросы объясняют только 56 (63%) — алкоголь или потерянный макрос"
warning,Applebee's,Captain Morgan Bahama Mama,atwater,"280 ккал, макросы объясняют только 164 (41%) — алкоголь или потерянный макрос"
warning,Applebee's,Fireball Whiskey Lemonade,atwater,"260 ккал, макросы объясняют только 148 (43%) — алкоголь или потерянный макрос"
warning,Applebee's,Irish Peach Sour,atwater,"220 ккал, макросы объясняют только 88 (60%) — алкоголь или потерянный макрос"
warning,Applebee's,"Margaritas, Blue Agave Rita",atwater,"390 ккал, макросы объясняют только 268 (31%) — алкоголь или потерянный макрос"
warning,Applebee's,"Margaritas, Perfect Margarita",atwater,"310 ккал, макросы объясняют только 164 (47%) — алкоголь или потерянный макрос"
warning,Applebee's,"Margaritas, Strawberry Lime Margarita",atwater,"420 ккал, макросы объясняют только 284 (32%) — алкоголь или потерянный макрос"
warning,Applebee's,Pair of Jacks,atwater,"220 ккал, макросы объясняют только 104 (53%) — алкоголь или потерянный макрос"
warning,Applebee's,Perfect Patron Margarita,atwater,"290 ккал, макросы объясняют только 168 (42%) — алкоголь или потерянный макрос"
warning,Applebee's,Perfect Pomegranate Margarita,atwater,"360 ккал, макросы объясняют только 216 (40%) — алкоголь или потерянный макрос"
warning,Applebee's,Raspberry Cosmo,atwater,"220 ккал, макросы объясняют только 112 (49%) — алкоголь или потерянный макрос"
warning,Applebee's,"Sangrias, Blackberry Sangria",atwater,"270 ккал, макросы объясняют только 140 (48%) — алкоголь или потерянный макрос"
warning,Applebee's,Summer Squeeze,atwater,"340 ккал, макросы объясняют только 204 (40%) — алкоголь или потерянный макрос"
warning,Applebee's,Summer Squeeze Mango,atwater,"370 ккал, макросы объясняют только 240 (35%) — алкоголь или потерянный макрос"
warning,Applebee's,Summer Squeeze Strawberry,atwater,"400 ккал, макросы объясняют только 272 (32%) — алкоголь или потерянный макрос"
warning,Applebee's,Summer Squeeze Wildberry,atwater,"370 ккал, макросы объясняют только 244 (34%) — алкоголь или потерянный макрос"
warning,Applebee's,The Classic Combo,portion,2270 ккал — вероятно целая порция на компанию
warning,Applebee's,Top Shelf Long Island Iced Tea,atwater,"220 ккал, макросы объясняют только 92 (58%) — алкоголь или потерянный макрос"
warning,Applebee's,Watermelon Sangria,atwater,"210 ккал, макросы объясняют только 100 (52%) — алкоголь или потерянный макрос"
error,Auntie Anne's,"Breakfast Pretzel Sandwich, Egg & Cheese",atwater,макросы дают 240 ккал против заявленных 119 (+102%)
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Cuckoo Racha Seasoning,portion,2190 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Desert Gold Seasoning,portion,2170 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ EXXXXtra Hot 5 Pepper Buffalo Sauce,portion,2190 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Garlic Parmesan Sauce,portion,2380 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Hot & Spicy Buffalo Sauce,portion,2180 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Peppered BBQ Sauce,portion,2290 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Peppered BBQ Sauce,atwater,"2290 ккал, макросы объясняют только 1504 (34%) — алкоголь или потерянный макрос"
warning,BJ's Restaurant & Brewhouse,Best Beginnings Appetizer Combo w/ Root Beer BBQ Sauce,portion,2300 ккал — вероятно целая порция на компанию
warning,BJ's Restaurant & Brewhouse,Cappuccino,atwater,"100 ккал, макросы объясняют только 40 (60%) — алкоголь или потерянный макрос"
warning,BJ's Restaurant & Brewhouse,Chocolate Milk,atwater,"100 ккал, макросы объясняют только 40 (60%) — алкоголь или потерянный макрос"
error,BJ's Restaurant & Brewhouse,Classic Breakfast Sandwich w/ Ham on a Toasted Wheat Bread,atwater,макросы дают 3848 ккал против заявленных 900 (+328%)
warning,BJ's Restaurant & Brewhouse,Latte,atwater,"100 ккал, макросы объясняют только 40 (60%) — алкоголь или потерянный макрос"
error,Bob Evans,"1 Side & Bread, High Calorie",atwater,макросы дают 680 ккал против заявленных 370 (+84%)
warning,Bob Evans,12 Buttermilk Biscuits w/ Butter,portion,3120 ккал — вероятно целая порция на компанию
warning,Bob Evans,12 Dinner Rolls w/ Butter,portion,2350 ккал — вероятно целая порция на компанию
warning,Bob Evans,"Chocolate Peanut Butter Pie, Whole",portion,4010 ккал — вероятно целая порция на компанию
warning,Bob Evans,"Coconut Cream Pie, Whole",portion,3470 ккал — вероятно целая порция на компанию
warning,Bob Evans,"Double Crust Apple Pie, Whole",portion,2990 ккал — вероятно целая порция на компанию
error,Bob Evans,"Fresh Steamed Broccoli, Family",atwater,макросы дают 109 ккал против заявленных 80 (+36%)
error,Bob Evans,"Freshly Brewed Iced Tea, Unsweetened, Gallon",atwater,макросы дают 108 ккал против заявленных 60 (+80%)
warning,Bob Evans,"Pumpkin Pie Supreme, Whole",portion,3710 ккал — вероятно целая порция на компанию
warning,Bob Evans,"Pumpkin Pie, Whole",portion,3080 ккал — вероятно целая порция на компанию
error,Bob Evans,"Tomato Juice, Large",atwater,макросы дают 90 ккал против заявленных 70 (+28%)
error,Boston Market,Bacon Brussel Sprouts,atwater,макросы дают 387 ккал против заявленных 240 (+61%)
error,Boston Market,Beef Au Jus,atwater,макросы дают 219 ккал против заявленных 100 (+119%)
error,Boston Market,Rotisserie Chicken Pot Pie,atwater,макросы дают 1286 ккал против заявленных 750 (+71%)
error,Boston Market,Rotisserie Potatoes,atwater,макросы дают 329 ккал против заявленных 120 (+174%)
error,Boston Market,Turkey Pot Pie,atwater,макросы дают 1241 ккал против заявленных 710 (+75%)
warning,California Pizza Kitchen,Angry Orchard Crisp Apple Cider,atwater,"220 ккал, макросы объясняют только 124 (44%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Apothic Winemakers Blend, 9 oz",atwater,"230 ккал, макросы объясняют только 32 (86%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Apothic Winemakers Blend, Bottle",atwater,"650 ккал, макросы объясняют только 92 (86%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,B 52 Coffee,atwater,"230 ккал, макросы объясняют только 147 (36%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Beehive Sangria,atwater,"290 ккал, макросы объясняют только 172 (41%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Beringer White Zinfandel, 6 oz",atwater,"140 ккал, макросы объясняют только 20 (86%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Beringer White Zinfandel, 9 oz",atwater,"220 ккал, макросы объясняют только 28 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Beringer White Zinfandel, Bottle",atwater,"610 ккал, макросы объясняют только 80 (87%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Blue Moon,atwater,"260 ккал, макросы объясняют только 84 (68%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Blue Moon Belgian White Ale,atwater,"170 ккал, макросы объясняют только 68 (60%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Blueberry Ginger Smash,atwater,"330 ккал, макросы объясняют только 204 (38%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Bud Light, 12 oz",atwater,"100 ккал, макросы объясняют только 24 (76%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Cha Cha Agua Fresca,atwater,"140 ккал, макросы объясняют только 56 (60%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Chateau Ste Michelle Riesling, 6 oz",atwater,"140 ккал, макросы объясняют только 28 (80%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Chateau Ste Michelle Riesling, 9 oz",atwater,"210 ккал, макросы объясняют только 40 (81%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Chateau Ste Michelle Riesling, Bottle",atwater,"600 ккал, макросы объясняют только 116 (81%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Citrus Crush,atwater,"130 ккал, макросы объясняют только 52 (60%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Clos Du Bois Chardonnay, 6 oz",atwater,"150 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Clos du Bois Chardonnay, 9 oz",atwater,"220 ккал, макросы объясняют только 24 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Clos du Bois Chardonnay, Bottle",atwater,"620 ккал, макросы объясняют только 68 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Colby Red Blend, 6 oz",atwater,"150 ккал, макросы объясняют только 20 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Colby Red Blend, 9 oz",atwater,"220 ккал, макросы объясняют только 28 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Colby Red Blend, Bottle",atwater,"630 ккал, макросы объясняют только 80 (87%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,"Coney Island Hard Root Beer, 12 oz",atwater,"290 ккал, макросы объясняют только 176 (39%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Coors Light, 12 oz",atwater,"110 ккал, макросы объясняют только 24 (78%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,"Corona Extra, 12 oz",atwater,"150 ккал, макросы объясняют только 60 (60%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Dos Equis Lager,atwater,"130 ккал, макросы объясняют только 44 (66%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Francis Ford Coppola Bianco Pinot Grigio, 9 oz",atwater,"200 ккал, макросы объясняют только 28 (86%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Francis Ford Coppola Bianco Pinot Grigio, Bottle",atwater,"570 ккал, макросы объясняют только 76 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Francis Ford Coppola Diamond Collection Merlot, 9 oz",atwater,"220 ккал, макросы объясняют только 36 (84%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Francis Ford Coppola Diamond Collection Merlot, Bottle",atwater,"620 ккал, макросы объясняют только 104 (83%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Fresh Agave Lime Margarita,atwater,"170 ккал, макросы объясняют только 80 (53%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Goose Island,atwater,"140 ккал, макросы объясняют только 44 (69%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Hand Shaken Agave Mojito,atwater,"200 ккал, макросы объясняют только 108 (46%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Irish Coffee,atwater,"160 ккал, макросы объясняют только 65 (59%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"J Lohr Seven Oaks Cabernet Sauvignon, 3 oz",atwater,"75 ккал, макросы объясняют только 12 (84%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"J Lohr Seven Oaks Cabernet Sauvignon, 6 oz",atwater,"150 ккал, макросы объясняют только 20 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"J Lohr Seven Oaks Cabernet Sauvignon, 9 oz",atwater,"220 ккал, макросы объясняют только 28 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"J Lohr Seven Oaks Cabernet Sauvignon, Bottle",atwater,"620 ккал, макросы объясняют только 80 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Jacobs Creek Moscato, 6 oz",atwater,"150 ккал, макросы объясняют только 36 (76%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,"Jacobs Creek Moscato, 9 oz",atwater,"220 ккал, макросы объясняют только 56 (75%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,"Jacobs Creek Moscato, Bottle",atwater,"620 ккал, макросы объясняют только 160 (74%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Josh Cellars Chardonnay, 6 oz",atwater,"140 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Josh Cellars Chardonnay, 9 oz",atwater,"220 ккал, макросы объясняют только 24 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Josh Cellars Chardonnay, Bottle",atwater,"610 ккал, макросы объясняют только 76 (88%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Kendall Jackson Vintners Reserve Chardonnay, 6 oz",atwater,"150 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Kendall Jackson Vintners Reserve Chardonnay, 9 oz",atwater,"220 ккал, макросы объясняют только 24 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Kendall Jackson Vintners Reserve Chardonnay, Bottle",atwater,"630 ккал, макросы объясняют только 68 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Kim Crawford Sauvignon Blanc, 6 oz",atwater,"140 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Kim Crawford Sauvignon Blanc, 9 oz",atwater,"210 ккал, макросы объясняют только 20 (90%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Kim Crawford Sauvignon Blanc, Bottle",atwater,"600 ккал, макросы объясняют только 60 (90%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"La Crema Pinot Noir, 3 oz",atwater,"70 ккал, макросы объясняют только 8 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"La Crema Pinot Noir, 6 oz",atwater,"140 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"La Crema Pinot Noir, 9 oz",atwater,"220 ккал, макросы объясняют только 24 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"La Crema Pinot Noir, Bottle",atwater,"610 ккал, макросы объясняют только 72 (88%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"La Marca Prosecco, Bottle",atwater,"630 ккал, макросы объясняют только 144 (77%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Le Grand Courtage Brut, Bottle",atwater,"650 ккал, макросы объясняют только 60 (91%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Le Grand Courtage Brut, Split",atwater,"150 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Le Grand Courtage, Bottle",atwater,"650 ккал, макросы объясняют только 60 (91%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Le Grand Courtage, Split",atwater,"150 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"M Chapoutier Belleruche Rose, 6 oz",atwater,"140 ккал, макросы объясняют только 20 (86%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"M Chapoutier Belleruche Rose, 9 oz",atwater,"220 ккал, макросы объясняют только 28 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"M Chapoutier Belleruche Rose, Bottle",atwater,"610 ккал, макросы объясняют только 80 (87%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Mark West Pinot Noir, 6 oz",atwater,"140 ккал, макросы объясняют только 16 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Mark West Pinot Noir, 9 oz",atwater,"220 ккал, макросы объясняют только 24 (89%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Mark West Pinot Noir, Bottle",atwater,"610 ккал, макросы объясняют только 72 (88%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Meiomi Pinot Noir, 6 oz",atwater,"140 ккал, макросы объясняют только 4 (97%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Meiomi Pinot Noir, 9 oz",atwater,"220 ккал, макросы объясняют только 4 (98%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Meiomi Pinot Noir, Bottle",atwater,"600 ккал, макросы объясняют только 16 (97%) — алкоголь или потерянный макрос"
error,California Pizza Kitchen,"Miller Lite, 12 oz",atwater,"100 ккал, макросы объясняют только 16 (84%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,"Modelo Especial, 12 oz",atwater,"170 ккал, макросы объясняют только 72 (58%) — алкоголь или потерянный макрос"
warning,California Pizza Kitchen,Moscow Mule,atwater,"180 ккал, макросы объясняют только 92 (49%) — алкоголь или потерянный макрос"
